翁家特制,#genre#
CCTV13,http://www.furymax.top:85/rtp/239.254.96.161:9040
CCTV13,http://8.134.211.236:13556/china/cctv.php?id=cctv13
CCTV1,http://www.furymax.top:85/rtp/239.254.96.96:8550
CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV1,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV1,http://8.134.211.236:13556/china/cctv.php?id=cctv1
CCTV3,http://www.furymax.top:85/rtp/239.69.1.122:10370
CCTV3,http://8.134.211.236:13556/china/cctv.php?id=cctv3
CCTV8,http://www.furymax.top:85/rtp/239.69.1.125:10388
CCTV8,http://8.134.211.236:13556/china/cctv.php?id=cctv8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
浙江卫视,https://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8
浙江卫视,http://www.furymax.top:85/rtp/239.254.96.143:8932
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://www.furymax.top:85/rtp/239.69.1.70:10060
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江苏卫视,http://www.furymax.top:85/rtp/239.254.96.144:8938
江苏卫视,http://www.furymax.top:85/rtp/239.69.1.174:10680
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
湖南卫视,http://www.furymax.top:85/rtp/239.254.96.139:8908
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江民生休闲,http://183.134.3.22:8888/newlive/live/hls/53/live.m3u8
浙江民生休闲,https://ali-vl.cztv.com/channels/lantian/channel006/360p.m3u8
浙江钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江都市,http://183.134.3.22:8888/newlive/live/hls/50/live.m3u8
浙江钱江都市,https://ali-vl.cztv.com/channels/lantian/channel002/360p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江经济生活,http://183.134.3.22:8888/newlive/live/hls/51/live.m3u8
浙江经济生活,https://ali-vl.cztv.com/channels/lantian/channel003/360p.m3u8
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江教科影院,https://ali-vl.cztv.com/channels/lantian/channel004/360p.m3u8
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV5+ 体育赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
央视频道,#genre#
CCTV1,http://www.furymax.top:85/rtp/239.254.96.96:8550
CCTV2,http://www.furymax.top:85/rtp/239.69.1.102:10250
CCTV3,http://www.furymax.top:85/rtp/239.69.1.122:10370
CCTV4,http://www.furymax.top:85/rtp/239.69.1.138:10466
CCTV5,http://www.furymax.top:85/rtp/239.69.1.123:10376
CCTV5+,http://www.furymax.top:85/rtp/239.254.96.234:9484
CCTV6,http://www.furymax.top:85/rtp/239.69.1.124:10382
CCTV7,http://www.furymax.top:85/rtp/239.69.1.103:10256
CCTV8,http://www.furymax.top:85/rtp/239.69.1.125:10388
CCTV9,http://www.furymax.top:85/rtp/239.69.1.104:10262
CCTV10,http://www.furymax.top:85/rtp/239.69.1.105:10268
CCTV11,http://www.furymax.top:85/rtp/239.69.1.154:10560
CCTV12,http://www.furymax.top:85/rtp/239.69.1.106:10274
CCTV13,http://www.furymax.top:85/rtp/239.254.96.161:9040
CCTV14,http://www.furymax.top:85/rtp/239.69.1.107:10280
CCTV15,http://www.furymax.top:85/rtp/239.69.1.155:10566
CCTV16,http://www.furymax.top:85/rtp/239.69.1.247:11124
CCTV16-4K,http://www.furymax.top:85/rtp/239.69.1.249:11136
CCTV17,http://www.furymax.top:85/rtp/239.69.1.152:10548
CCTV1,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
CCTV2,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV7,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV9,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV11,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV12,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV13,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV15,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV16,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV17,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8
CHC动作电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC家庭影院,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC高清电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/index.m3u8
CHC电影,http://222.243.24.51:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
